Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Tomato soup condensed canned,COOKING SAUCES,TOMATO SAUCE,Processed foods,false,tomato soup ~ tomato sauce base
Tree tomato dark red skin peeled raw,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tsiswa (Termites),EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods,false,
Tuna boiled in recipe (without salt and fat),PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods,false,
Tuna grilled (without salt and fat),PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods,false,
Tuna raw,PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods,false,
Tuna steamed (without salt),PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods,false,
Turmeric dried ground,HERBS AND SPICES,SPICES - TURMERIC,Unprocessed/Minimally processed foods,false,
Turnip root raw,ROOT VEGETABLES,TURNIP,Unprocessed/Minimally processed foods,false,
Ugali (Cassava finger millet sorghum flour),CEREAL GRAINS,UGALI,Processed foods,false,
Vegetable Samosa,FAST FOODS,SAMOSA,Processed foods,false,
Vimumunya vya Chumvi (Pumpkin Coconut Milk),PLANT MILK,COCONUT MILK,Processed foods,false,
Vimumunya vya Sukari (Sweetened Pumpkin Coconut Milk),PLANT MILK,COCONUT MILK,Processed foods,false,
Vine (African) spinach picked leaves boiled drained (without salt),VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Vine (African) spinach picked leaves raw,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods,false,
Vine spinach,VEGETABLES,SPINACH,Processed foods,false,
Vinolo (Banana and Maize Flour Ugali),MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,false,
Water Melon Seed Kernel Dry Raw,FRUITS,WATER MELONS,Unprocessed/Minimally processed foods,false,
Water tap,WATER,DRINKING WATER,Unprocessed/Minimally processed foods,false,
Watermelon fruit green with white stripes raw,FRUITS,WATER MELONS,Unprocessed/Minimally processed foods,false,
Wheat Flour (refined fortified sifted packaged) raw,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,false,
Wheat Flour Atta,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,false,
Wheat Flour Porridge,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,false,
Wheat whole flour raw,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,false,
Wheat whole grain dry boiled (without salt),CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods,false,
Wheat whole grain dry raw,CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods,false,
Wheat whole grain dry stewed (without salt),CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods,false,
White Chapati,BREADS,PRE-PREPARED CHAPATI,Processed foods,false,
Whole Maize Flour Ugali,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,false,
Wine Red,ALCOHOLIC BEVERAGES,RED WINE,Ultra-processed foods,false,
Wine White Dry,ALCOHOLIC BEVERAGES,WHITE WINE,Ultra-processed foods,false,
Wine White Sweet,ALCOHOLIC BEVERAGES,WHITE WINE,Ultra-processed foods,false,
Yam flour,WHEAT FLOUR,YAM FLOUR,Unprocessed/Minimally processed foods,false,
Yam Stew,ROOT VEGETABLES,YAM,Processed foods,false,
Yam white boiled drained (without salt),ROOT VEGETABLES,YAM,Unprocessed/Minimally processed foods,false,
Yam white raw,ROOT VEGETABLES,YAM,Unprocessed/Minimally processed foods,false,
Yeast dry powder,BAKING ADDITIVES,YEAST,Processed Culinary Ingredients,false,
Yoghurt cow milk whole plain,FLAVOURED FERMENTED MILK,YOGURT (PLAIN),Processed foods,false,
Zambarau peeled raw,FRUITS,ZAMBARAU/JAMUN,Unprocessed/Minimally processed foods,false,
