Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Egg, chicken, whole, raw   ",558,134,75.9,12.7,8.1,2.4,0,0.9,54,1.7,14,180,126,155,1.13,23,186,186,186,0,0.12,0.51,0,83,83,1.7,0,418,0,0,0,0,0,0,750,1230,669,456,284,602,473,494,196,929,811,251,958,1010,970,453,479,747,7,0,0,7,2.3,2.92,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1.67
"Egg, chicken, whole, boiled (without salt)",558,134,75.9,12.7,8.1,2,0,0.9,51,1.6,13,171,120,147,1.07,21,177,177,177,0,0.09,0.41,0,66,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egg, chicken, whole, poached (without salt)",634,152,72.6,14.4,9.2,3,0,1,58,1.9,15,194,136,167,1.21,24,201,201,201,0,0.1,0.46,0,75,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egg, chicken, yolk, raw   ",1370,331,51,16.1,28.2,3.2,0,1.5,130,6,8,398,104,50,2.5,56,449,449,449,[0],0.19,0.4,0,120,120,4,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egg, chicken, yolk, boiled (without salt)",1370,331,51,16.1,28.2,3,0,1.5,124,5.7,8,378,99,48,2.38,53,427,427,427,0,0.15,0.32,0,96,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat blood, raw",290,69,86.4,3.8,3.9,4.9,0,1.1,8,27.2,6,23,169,216,0.65,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat, lean, raw",500,119,74.6,19.5,4.3,0.6,0,1,10,7.2,29,276,243,156,3.66,22,7,7,7,0,0.17,0.23,4.4,2,2,3.09,0.4,93,0,0,0,0,0,0,877,1680,1920,491,88,762,608,928,134,1530,1430,588,1590,1360,1660,1040,782,428,4.06,0,0,4.06,2.07,1.54,0.24,0.19,0.01,0,0,0,0,0,0,0,0,0,0,0.06,0.23
"Goat, lean, boiled (without salt)",731,174,62,29.1,6.4,0,0,1.6,12,9.9,34,317,217,137,5.46,33,8,8,8,0,0,0.28,3.8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat, lean, grilled (without salt and fat)",710,169,63.1,28.3,6.2,0,0,1.5,14,9.6,35,332,281,189,5.03,32,9,9,9,0,0.17,0.3,5.2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat liver, raw",485,115,74.8,20.2,3.9,0,0,1.3,12,6.6,18,308,225,64,3.48,48,15700,15700,15700,0,0.2,0.37,12.9,178,178,64,14,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat, liver, boiled (without salt)",740,176,61.9,30.5,6,0,0,2,14,9.4,22,326,205,58,5.27,73,19000,19000,19000,0,0.21,0.49,9.8,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat, medium fat, raw",695,166,68.2,18.6,8.6,3.5,0,1,10,1.9,22,237,198,121,3.26,26,18,18,18,0,0.16,0.18,3.7,1,1,2.34,0.8,93,0,0,0,0,0,0,704,1310,1410,406,75,657,504,736,222,1270,1360,569,1330,1590,2290,1610,1140,432,8.17,0,0,8.17,4.39,2.96,0.42,0.38,0.01,0,0,0,0,0,0,0,0,0,0,0.15,0.37
"Goat, medium fat, boiled (without salt)",820,196,56,27.8,9.4,0,0,1.5,12,2.7,25,273,177,106,4.86,38,20,20,20,0,0.13,0.22,3.3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goat, medium fat, grilled (without salt and fat)",804,192,57.1,26.9,9.3,0,0,1.5,14,2.6,26,286,229,147,4.48,37,21,21,21,0,0.16,0.23,4.4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guinea fowl, meat, with skin",471,112,75.2,20.5,3.2,0.1,0,0.9,31,2.2,21,187,240,58,1.48,24,2,2,2,0,0.02,0.18,3.6,4,4,0.27,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb liver, raw",675,161,67.6,20.4,7.5,3.1,0,1.5,10,8.3,18,413,326,67,4.22,57,31400,31400,31400,46,0.3,2.25,10.9,759,759,90,20,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb, liver, boiled (without salt)",811,193,54.5,30.8,7.8,0,0,2.3,12,12,22,438,296,61,6.39,86,38100,38100,38100,56,0.32,3,8.3,748,748,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb, raw (unspecified part)",1120,269,60,17,22.7,0,0,1,12,1.7,22,150,230,60,3.33,20,0,0,0,0,0.12,0.23,6.1,18,18,2.39,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb, unspecified part, boiled (without salt)",1430,344,47.2,25.4,26.9,0,0,1.5,14,2.5,21,179,189,54,4.97,30,0,0,0,0,0.07,0.18,4.6,16,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb, unspecified part, grilled (without salt and fat)",1400,338,48.3,24.6,26.6,0,0,1.4,17,2.3,27,185,283,74,4.83,29,0,0,0,0,0.1,0.29,7.1,18,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork, meat, raw (unspecified part)",1190,286,57.2,18.9,23.5,0,0,0.7,25,1.1,13,178,253,58,1.59,28,0,0,0,0,0.63,0.17,3.8,4,4,0.6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork, meat, unspecified part, boiled (without salt)",1550,374,41.8,29.1,28.6,0,0,1.1,30,1.8,12,164,195,40,2.45,44,0,0,0,0,0.29,0.18,2.9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork, meat, unspecified part, grilled (without salt and fat)",1480,356,44.9,27,27.6,0,0,1,26,1.3,18,228,307,75,2.27,41,0,0,0,0,0.63,0.21,4.3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbit meat, raw",636,151,67,24.4,4.8,2.5,0,1.3,12,1,18,290,370,53,1.6,25,10,10,10,0,0.46,0.06,7.5,11,11,5.3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbit meat, stewed (without salt)",872,207,51.4,35.8,7.1,0,0,2,15,1.5,17,341,299,47,2.35,37,12,12,12,0,0.27,0.05,5.5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbit meat, roasted (without salt and fat)",674,160,62.4,27.7,5.5,0,0,1.5,13,1.1,17,280,336,51,1.82,28,9,9,9,0,0.31,0.05,6,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, beef, raw",989,238,57.5,12,16.3,9.7,2.2,2.3,42,1,26,492,279,679,3.42,79,129,134,125,54,0.03,0.1,2.6,9,9,1.42,0,34,0,0,0,0,0,0,452,843,904,224,126,450,379,474,111,567,799,341,842,1030,2060,1250,1020,433,16.21,0,0,16.21,7.39,6.1,2.26,0.46,0,0,0,0,0,0,0,0,0,0,0,0.19,2.17
"Sausage, beef, grilled (without salt and fat)",927,223,48.1,16.1,17,0,3,3,57,1.6,35,623,316,815,4.55,106,155,161,150,65,0.03,0.13,2.9,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, frankfurters",1130,274,60,10,25,1.6,1.5,1.9,78,1.5,11,150,75,1000,2.3,7,9,11,7,24,0.04,0.08,0.9,3,3,1.1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, frankfurters, boiled (without salt)",1130,272,59.2,10.3,25.3,0,2,2,68,1.5,11,155,66,876,2.37,7,8,10,6,23,0.03,0.07,0.7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, liver, raw",1330,322,52,13,28.5,3.4,0,3.1,30,6.4,12,230,170,900,2.3,58,8310,8310,8310,0,0.2,1.6,4.3,30,30,13.46,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, liver, grilled (without salt and fat)",1530,369,40.7,17.3,33.3,0,0,4.1,40,8.5,16,291,193,1080,3.07,77,9970,9970,9970,0,0.2,2.03,4.9,34,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, pork, raw",1420,343,51,11.5,32,1.7,1.3,2.5,25,1.1,15,160,160,720,1.7,26,26,27,25,13,0.04,0.12,2.7,21,21,0.6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, pork, boiled (without salt)",1470,355,48,12.5,33.6,0,1,2.7,23,1.1,16,174,148,665,1.85,28,26,27,24,13,0.03,0.12,2.2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage, pork, grilled (without salt and fat)",1730,419,37.4,16,39,0,2,3.5,34,1.5,21,211,189,900,2.36,36,33,34,31,16,0.04,0.16,3.2,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quail, flesh & skin, raw",729,175,69.7,19.1,11.5,0,0,1,10,2.6,24,243,358,49,1.58,16,47,47,47,0,0.17,0.39,7.1,8,8,0.82,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cod, fillet, raw",311,73,81.6,17,0.6,0,0,1.2,15,0.2,26,209,367,79,0.37,27,2,2,2,tr,0.06,0.07,1.8,9,9,1.55,0.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cod, fillet, steamed (without salt)",380,90,77.5,20.7,0.7,0,0,1.5,18,0.2,27,217,336,82,0.45,29,2,0,2,0,0.06,0.06,1.6,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cod, fillet, grilled (without salt and fat)",415,98,75.5,22.7,0.8,0,0,1.6,20,0.2,31,251,416,90,0.49,35,2,0,2,0,0.07,0.08,2.2,10,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cod, fillet, boiled in recipe (without salt and fat)",380,90,77.5,20.7,0.7,0,0,1.5,18,0.3,31,255,448,97,0.45,32,2,0,2,0,0.06,0.08,2.1,10,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dagaa fish (omena), dried, raw",1400,333,11.2,59.5,10.6,0,0,10,2790,6.9,98,2730,800,300,16,22,141,141,141,0,0.34,0.52,18.2,46,46,60,0,977,0,0,0,0,0,0,2720,4210,5090,1470,559,2080,1620,2080,377,3960,3560,2380,3700,6810,8200,2930,2950,2330,9.75,0,0,9.75,3.84,2.24,3.47,0.11,0.09,0,0,0,0,0,0,0,0,0,0,2.63,0.91
"Dagaa fish (omena), dried, stewed (without salt)",638,152,59.6,27,4.8,0,0,4.5,1270,3.1,44,1240,364,136,7.39,10,58,0,58,0,0.13,0.24,7.9,18,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eel, raw",733,176,69.6,17.7,11.7,0,0,1.41,20,0.6,20,216,272,70.5,1.62,6.5,1043,1043,1043,0,0.2,0.35,3.5,15,15,3,1.8,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eel, steamed (without salt)",830,199,64.8,21.3,12.6,0,0,1.7,24,0.6,20,221,246,72,1.95,7,880,0,880,0,0.18,0.3,3,13,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eel, grilled (without salt and fat)",874,210,62.6,23,13.1,0,0,1.8,26,0.7,23,252,300,78,2.1,8,1084,0,1084,0,0.23,0.41,4.1,16,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eel, boiled in recipe (without salt and fat)",883,212,63.4,21.3,14,0,0,1.7,24,0.7,24,260,328,85,1.95,8,1131,0,1131,0,0.2,0.42,4,15,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herring stock, raw",480,114,70.8,18.9,4.3,0,0,2.6,67,1.1,32,250,357,95,0.81,36,31,31,31,0,0.05,0.23,3.2,8,8,12.22,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herring stock, steamed (without salt)",578,137,64.9,22.7,5.2,0,0,3.1,80,1.1,33,256,322,97,0.97,39,34,0,34,0,0.05,0.19,2.7,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herring stock, grilled (without salt)",623,148,62.1,24.5,5.6,0,0,3.4,87,1.3,37,292,394,105,1.05,47,36,0,36,0,0.06,0.27,3.7,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herring stock, boiled in recipe (without salt and fat)",578,137,64.9,22.7,5.2,0,0,3.1,80,1.4,39,301,430,114,0.97,43,34,0,34,0,0.06,0.28,3.6,8,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lungfish, fillet, raw",308,73,80.5,15.9,1,0,0,1.1,180,2.6,20,253,168,91,1.12,24,9,9,9,0,0,0.28,2.2,2,2,1.64,0.2,61,0,0,0,0,0,0,812,1310,1890,379,91,619,449,694,105,1350,951,477,1300,1270,1910,1070,679,307,0.81,0,0,0.81,0.3,0.23,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14
"Lungfish, fillet, steamed (without salt)",371,88,76.5,19.1,1.2,0,0,1.3,217,2.5,21,259,152,93,1.34,26,10,0,10,0,0,0.24,1.8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lungfish, fillet, grilled (without salt and fat)",400,94,74.7,20.6,1.3,0,0,1.4,234,2.9,24,296,185,100,1.45,31,11,0,11,0,0,0.33,2.5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lungfish, fillet, boiled in recipe (without salt and fat)",371,88,76.5,19.1,1.2,0,0,1.3,217,3.2,24,305,202,109,1.34,28,10,10,10,0,0,0.34,2.5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mudfish (kamongo), fillet, raw",431,102,78.3,17.8,3.5,0,0,1.2,23,0.5,24,180,301,41,1.07,38,9,9,9,tr,0.07,0.03,3,14,14,3.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mudfish (kamongo), fillet, steamed (without salt)",520,123,73.8,21.5,4.2,0,0,1.4,28,0.5,24,184,272,42,1.29,41,10,10,10,0,0.06,0.03,2.6,11,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mudfish (kamongo), fillet, grilled (without salt and fat)",560,133,71.8,23.2,4.5,0,0,1.5,30,0.6,28,210,333,45,1.39,49,11,11,11,0,0.08,0.04,3.5,14,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mudfish (kamongo), fillet, boiled in recipe (without salt and fat)",520,123,73.8,21.5,4.2,0,0,1.4,28,0.7,29,217,363,49,1.29,46,10,10,10,0,0.07,0.04,3.5,14,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackerel, raw",534,127,76.8,18.7,5.9,0,0,1.3,23,0.9,33,215,395,66,0.52,48,25,25,25,0,0.1,0.15,2.9,1,1,3.9,1.8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nile perch, dry, raw",1634,388,12.2,71.8,10.7,1.2,0,4.2,516,4,112,1092,859,376,2,84,186,186,186,0,0,0,8,28,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nile perch, fillet w/o bones, raw",356,84,77.37,19,0.9,0,0,1.2,133,1,29,282,222,97,0.56,22,15,15,15,0,0,0,2,7,7,1.3,0,75,0,0,0,0,0,0,871,1510,1630,559,84,778,602,857,197,1410,1140,495,1220,1960,2910,933,736,439,0.67,0,0,0.67,0.23,0.17,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.09
"Nile tilapia, fillet, w/o skin and bones, raw",391,92,77.6,19.7,1.5,0,0,1.1,109,2.7,17,167,151,64,0.5,17,10,10,10,0,0.04,0.15,3.23,5,5,1.51,0,63,0,0,0,0,0,0,805,1420,1620,515,79,722,552,759,203,1290,1260,562,1170,1680,2960,1100,706,449,1.25,0,0,1.25,0.43,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3
"Prawns, flesh, raw",419,99,75.1,18.4,1.1,3.9,0,1.6,59,1.5,43,246,252,191,1.43,42,16,20,11,56,0.04,0.08,2.7,14,14,2.14,0.3,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prawns, fresh, steamed (without salt)",505,119,69.9,22.2,1.3,5,0,1.9,71,1.4,44,252,228,196,1.72,45,16,0,11,56,0.03,0.07,2.2,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prawns, fresh, grilled (without salt and fat)",487,115,71,21.4,1.3,4,0,1.9,69,1.7,50,286,293,223,1.66,48,16,0,11,58,0.04,0.1,2.9,13,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prawns, fresh, boiled in recipe (without salt and fat)",505,119,69.9,22.2,1.3,5,0,1.9,71,1.5,47,267,258,196,1.72,50,16,0,11,59,0.04,0.09,2.9,13,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardine, flesh, raw",605,145,71.2,19.5,7.4,0,0,2.1,42,1.3,36,256,364,38,1.2,50,13,13,13,tr,0.01,0.05,0.91,23,23,0.5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardine, fresh, steamed (without salt)",666,159,67.4,23,7.4,0,0,2.5,50,1.2,36,256,321,38,1.45,53,10,0,10,0,0.01,0.04,0.7,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardine, fresh, grilled (without salt and fat)",733,175,63.2,26.8,7.5,0,0,2.9,58,1.5,44,316,423,45,1.68,69,14,0,14,0,0.01,0.06,1.1,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardine, fresh, boiled in recipe (without salt and fat)",712,170,66.2,23,8.7,0,0,2.5,50,1.6,42,301,428,45,1.45,59,13,0,13,0,0.01,0.06,1,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shark, raw",398,94,74.4,21.6,0.8,0,0,1.1,8,0.38,32.58,263,372,63.63,0.46,28.9,1,1,1.1,tr,0.03,0.04,2.68,3,3,1.49,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
