Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
JADE BRIDGE HOI SIN SAUCE,COOKING SAUCES,HOISIN SAUCE,Ultra-processed foods,false,new subclass: HOISIN SAUCE
Java House Crispy Crunchy Granola Cereal,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Java House Tropical Crunch Granola Cereal,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Joe Seph S Capucino Carmel Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph S Chocolate Caramel Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph S Pie Caramel Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph S Sticky Toffee Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph s Toffee Aple Cinnamon Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph Salted Carmel Cheese Cake Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Joe Seph Speculoos Carmel Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Jordans County Crisp Honey Nut,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,Jordans County Crisp = granola
Jordans County Crisp Superberry,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,Jordans County Crisp = granola
Jordans County Oat Porridge,BREAKFAST CEREALS,OATMEAL/PORRIDGE,Ultra-processed foods,false,new subclass: OATMEAL/PORRIDGE
Jordans Frusli Cranberry Apple Cereal,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,Jordans Frusli = fruit granola
Jordans Frusli Raisin Hazelnut Cereal,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,Jordans Frusli = fruit granola
Jordans Nutural Muesli Fruit Nut,BREAKFAST CEREALS,MUESLI,Ultra-processed foods,false,new subclass: MUESLI
