description,class_name,subclass_name,nova
ZESTA CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
ZESTA EGGLESS MAYONNAISE,TABLE SAUCES,MAYONNAISE,Ultra-processed foods
ZESTA HOT & SWEET SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
ZESTA ICING SUGAR BOX,SUGAR - POWDERED,ICING SUGAR,Processed Culinary Ingredients
ZESTA MIXED FRUIT JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
ZESTA NAT HONEY,HONEY,HONEY,Processed Culinary Ingredients
ZESTA ORANGE MARMALADE,JAM/OTHER SPREADS,MARMALADE,Ultra-processed foods
ZESTA PEANUT BUTTER SMOOTH,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
ZESTA RED PLUM JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
ZESTA STRAWBERRY JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
ZESTA TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
ZESTA VINEGAR WHITE,TABLE SAUCES,VINEGAR,Ultra-processed foods
