description,class_name,subclass_name,nova
EDEN TEA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
ELIANTO,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
ENGARE SPRING WATER,WATER,SPRING WATER,Unprocessed/Minimally processed foods
ENGLISH MUFFINS,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
EUREKA ROASTED CASHEWNUTS,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods
EXCEL EXTRA KENYAN PISHORI,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
EXCEL GLUCOSE,SUGAR - POWDERED,GLUCOSE,Processed Culinary Ingredients
EXE ALL PURPOSE,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
EXE BROWN BREAD FLOUR,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
EXE CHAPATI FLOUR,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
EXE MANDAZI,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
EXE SELF RAISING,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
EXECUTIVE CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
EXECUTIVE TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
FAHARI YA KENYA MASALA TEA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
FAMILA BABY WEANING MIX,BABY FOODS - PORRIDGE FLOUR,BABY/INFANT PORRIDGE FLOUR,Unprocessed/Minimally processed foods
FAMILA INFANT WEANING MIX,BABY FOODS - PORRIDGE FLOUR,BABY/INFANT PORRIDGE FLOUR,Unprocessed/Minimally processed foods
FAMILA PURE WIMBI,RED MILLET FLOUR,RED MILLET FLOUR,Unprocessed/Minimally processed foods
FAMILA UJIMIX,RED MILLET FLOUR,RED MILLET FLOUR,Unprocessed/Minimally processed foods
FAMILY MADEIRA,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
FAMILY MADEIRA MILL BAKER,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
FANCY CAKE MILL BAKERS,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
FARAJA PREM TEA SAT,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
FAREGELLO TOMATO PASTE,TOMATO PASTE,TOMATO PASTE,Processed foods
FAT (KITE),COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
FESTIVE BROWN BREAD,BREADS,BROWN BREAD,Ultra-processed foods
FESTIVE CREAM ROLL CARAMEL,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
FESTIVE CREAM ROLL CHOCOLATE,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
FESTIVE CREAM ROLL S/BERRY,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
FESTIVE CREAM ROLL VANILLA,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
FESTIVE DELUXE ROLLS,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
FESTIVE MILKY WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
FESTIVE PREM BURGER PLAIN,BUNS/ROLLS,PLAIN BUNS,Ultra-processed foods
FESTIVE PREM BURGER W/SESAME,BUNS/ROLLS,SESAME BUNS,Ultra-processed foods
FESTIVE SUPREME WHOLE MEAL BREAD,BREADS,BROWN BREAD,Ultra-processed foods
FESTIVE WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
FISH MASALA DEEPA,HERBS AND SPICES,SPICES - FISH MASALA,Unprocessed/Minimally processed foods
FOOD COLOUR FESTIVAL CHOCOLATE BROWN,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
FOOD COLOUR FESTIVAL EGG YELLOW,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
FOOD COLOUR FESTIVAL GOLDEN YELLOW,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
FOOD COLOUR FESTIVAL GREEN,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
FOOD COLOUR FESTIVAL MAROON,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
FOOD COLOUR FESTIVAL S/BERRY,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Ultra-processed foods
FRESH FRI,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
FRESH MILK FSL,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
FRESH MILK LDF,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
FRESHA LALA,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
FRESHA MAISHA LONG LIFE TCA,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
FRESHA MAISHA LONG LIFE TFA,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
FRESHA NAT LALA G/TOP,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
FRESHA P/APPLE YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
FRESHA PASSION YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
FRESHA S/BERRY YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
FRESHA S/BERRY YOGHURT G/TOP,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
FRESHA VAN YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
FRESHA WHOLE MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
FRIED PEANUT H/EATER,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
FRIED PEANUTS FRESH N CRUNCHY,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
FRIED PEAS HAPPY EATER,SWEET AND SAVOURY SNACKS,FRIED PEAS,Ultra-processed foods
FRUIT BUNS,BUNS/ROLLS,SWEET BUNS,Ultra-processed foods
FRUIT CAKE MILL BAKERS,CAKES,CAKES,Ultra-processed foods
FRUITFULL BLACK BERRY GRAPE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL JUICE CRANBERRY APPLE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL JUICE GUAVA PASSION,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL JUICE MANGO,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL JUICE PINACOLADA,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL KIDS MANGO,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITFULL KIDS STRAWBERRY APPLE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE APPLE JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE APPLE RTD,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE BERRY JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE LEMON JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE MANGO JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE MANGO RTD,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE ORANGE JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE PINEAPPLE RTD,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRUITVILLE TROPICAL RTD,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
FRY MATE,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
FRY MATE REFILL,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
FRYUMS CORN BITES FRESH & CRUNCHY,SWEET AND SAVOURY SNACKS,FRYUMS/FAR FAR,Ultra-processed foods
FULLY DECORATED CAKE,CAKES,CAKES,Ultra-processed foods
GANTHIA FRESH N CRUNCHY,SWEET AND SAVOURY SNACKS,GANTHIA SNACKS,Ultra-processed foods
GARAM MASALA CHARSCO,HERBS AND SPICES,SPICES - GARAM MASALA,Unprocessed/Minimally processed foods
GARAM MASALA DEEPA,HERBS AND SPICES,SPICES - GARAM MASALA,Unprocessed/Minimally processed foods
GARLIC GROUND CHARSCO,HERBS AND SPICES,SPICES - GARLIC,Unprocessed/Minimally processed foods
GARLIC POWDER DEEPA,HERBS AND SPICES,SPICES - GARLIC,Unprocessed/Minimally processed foods
GATL NUREEN PASTA SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
GIBSONS INSTANT COFFEE,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
GINGER GROUND DEEPA,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods
GINGER GROUND YANKEE,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods
GINGERNUT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
GOFRUT APPLE FRUIT DRINK,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
GOFRUT MANGO FRUIT DRINK,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
GOFRUT MOJITO FRUIT DRINK,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
GOFRUT MULTI-FRUIT FRUIT DRINK,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
GOFRUT ORANGE FRUIT DRINK,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
GOLDBAND,MARGARINE,MARGARINE,Ultra-processed foods
GOLDEN BARREL BROWN,BREADS,BROWN BREAD,Ultra-processed foods
GOLDEN BARREL WHITE,BREADS,WHITE BREAD,Ultra-processed foods
GOLDEN BUTTER COOKIES BISCUIT,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
GOLDEN C/NUT COOKIES BISCUIT,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
GOLDEN CASHEW COOKIES BISCUIT,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
GOLDEN CHOCOLATE CHIPS COOKIES BISCUIT,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
GOLDEN CREAM VANILLA BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN DIGESTIVE CLASSIC BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN FAMILY BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN FRY,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
GOLDEN GLUCOSE ENERGY BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN LONG GRAIN RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
GOLDEN MARIETTA BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN RICH SHORTCAKE BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN SHORTCAKE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN STRAWBERRY CREAM BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
GOLDEN WHEAT FLOUR,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
GONUTS FRIED PEANUTS,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
GONUTS ROASTED PEANUTS,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
GONUTS ROASTED PEANUTS SKINNED,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
GREEN GRAM MUNG BUTTERFLY,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
GREEN GRAM POLISHED BUTTERFLY,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
H O M C/NUT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
H O M CHOCO CHIP COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
H O MANJI BANANA WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
H O MANJI BOURBON,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI BUTTER CASHEW COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
H O MANJI CHEESE SNIPS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI CHOCOLATE WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
H O MANJI CREAM CHOCOLATE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI CREAM ORANGE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI DIGESTIVE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI DUOS BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI FAMILY,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI FAMILY CLASSIC,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI GINGER CLASSIC BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI GINGER COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
H O MANJI GINGER SNAPS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI GINGERNUT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI GLUCOSE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI GLUCOSE BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI HEB HONEY & CHOCO,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI HEB MILK & EGG,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI MANJIMIX OATS,CEREAL GRAINS,OATS,Unprocessed/Minimally processed foods
H O MANJI MARIE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI MARIE CLASSIC,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI MILKSTAR,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI MORNING BREEZE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI NICE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI ORANGE WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
H O MANJI S/BERRY WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
H O MANJI SO NICE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
H O MANJI TREAT CHOCOLATE COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
HALF DECO CAKE,CAKES,CAKES,Ultra-processed foods
HALF DECORATED CAKE,CAKES,CAKES,Ultra-processed foods
HALK MINI MUFFIN FRUIT CAKE,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
HALK NUTFRESH CHOCOLATE W/H/NUT WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
HALK SLIM STICK CHOCOLATE,CHOCOLATE,CHOCOLATE,Ultra-processed foods
HEART DELI MILL BAKERS,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
HEART MADEIRA,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
HEINZ TOMATO KETCHUP,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods
HEX FANCY CAKE,CAKES,CAKES,Ultra-processed foods
HIGHLANDS LEMON CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
HIGHLANDS MANGO CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
HIGHLANDS ORANGE CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
HIGHLANDS PINEAPPLE CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
HIGHLANDS TROPICAL CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
HILWA MACARONI ELBOW,PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
HILWA MACARONI SPIRALLI (TWISTED),PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
HOOPS CHEESE & ONION CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
HOOPS SALT & VINEGAR CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
HOOPS SALTED CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
HOOPS SALTED CRISPS C&R,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
HOSTESS,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
ILARA FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
ILARA MAZILA,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
ILARA S/BERRY YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
ILARA VANILLA YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
ILARA YOGHURT FOREST BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
ILARA YOGHURT MANGO,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
ILARA YOGHURT NATURAL,NATURAL/PLAIN YOGHURT,NATURAL/PLAIN YOGHURT,Unprocessed/Minimally processed foods
ILARA YOGHURT S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
ILARA YOGHURT VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
INDO MIE JUMBO CHICKEN FLAVOUR,NOODLES,NOODLES,Ultra-processed foods
INDOMIE BEEF JUMBO,NOODLES,NOODLES,Ultra-processed foods
INDOMIE BEEF NOODLES 5IN1 *5,NOODLES,NOODLES,Ultra-processed foods
INDOMIE CHICKEN NOODLES 5 IN,NOODLES,NOODLES,Ultra-processed foods
INDOMIE NOODLES CHICKEN,NOODLES,NOODLES,Ultra-processed foods
INDOMIE SPECIAL CHICKEN NOODLES V/P,NOODLES,NOODLES,Ultra-processed foods
INDOMIE SUPA MOJO NOODLES,NOODLES,NOODLES,Ultra-processed foods
INDOMIE SUPA MOJO NOODLES 5IN1 *5,NOODLES,NOODLES,Ultra-processed foods
JAMBY FAMILY PORRIDGE,PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Unprocessed/Minimally processed foods
JIMBI MAIZE,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
JOGOO,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
JOGOO MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
JOGOO WIMBI,RED MILLET FLOUR,RED MILLET FLOUR,Unprocessed/Minimally processed foods
JOY SUPER BITES MANDAZI,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods
K C C FRESH MILK (GREEN),WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C FRESH MILK G/C TCA,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C FRESH MILK G/CROWN,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C FRESH MILK PREM G/C,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C FRESH MILK WHOLE FINO,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C FRESH MILK WHOLE TCA (GREEN),WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
K C C GOLD CROWN ASEP F/P,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
K C C LONG LIFE ASEP F/P (GREEN),WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
K C C MALA FILPACK,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
K C C MALA PLAIN,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
K C C MALA SLEEVED,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
KABRAS SUGAR WHITE,SUGAR,WHITE SUGAR,Processed Culinary Ingredients
KAHAWA NO.1,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KANZ MAYONNAISE,TABLE SAUCES,MAYONNAISE,Ultra-processed foods
KARIBU ALL PURPOSE,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
KARSA BINBIR FLASH WHITE CHOCOLATE WAFER,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
KARSA KLAS MOSAIC BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
KARSA KLAS WITH COCOA,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
KASUKU,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
KCC G/C LACTOSE FREE TFA,WHOLE MILK,LACTOSE FREE MILK,Unprocessed/Minimally processed foods
KCC TAIFA FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
KEN BROWN VINEGAR,TABLE SAUCES,VINEGAR,Ultra-processed foods
KEN CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
KEN MIXED FRUIT JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
KEN TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
KEN TOMATO SAUCE 5L/,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
KEN WHITE VINEGAR,TABLE SAUCES,VINEGAR,Ultra-processed foods
KENSALT,SALT,TABLE SALT,Processed Culinary Ingredients
KENSALT TABLE SALT,SALT,TABLE SALT,Processed Culinary Ingredients
KENTASTE C/NUT COOKING OIL,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients
KENTASTE C/NUT CREAM TIN,COOKING SAUCES,COCONUT CREAM,Ultra-processed foods
KENTASTE C/NUT MILK TIN,PLANT MILK,COCONUT MILK,Ultra-processed foods
KENTASTE COCONUT MILK,PLANT MILK,COCONUT MILK,Ultra-processed foods
KENYAN CHEVDA HOT T/HEAT,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
KENYLON RED PLUM JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
KENYLON S/BERRY JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
KENYLON TOMATO PASTE,TOMATO PASTE,TOMATO PASTE,Processed foods
KENZY TOMATO PASTE,TOMATO PASTE,TOMATO PASTE,Processed foods
KERICHO GOLD,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KERICHO GOLD GINGER & LEMON,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KERICHO GOLD STRING & TAG,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KERINGET MINERAL WATER,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
KETEPA FAHARI YA KENYA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KETEPA JANI GREEN TEA,HERBAL INFUSIONS,GREEN TEA,Unprocessed/Minimally processed foods
KETEPA PRIDE GINGER,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KETEPA TEA BAG ECONOMY TAGGED,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KETEPA TEA BAG ECONOMY UNTAGGED,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KETEPA TEA BAG LEMON HANDY TAGGED,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KETEPA TEA BAG MASALA HANDY,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
KIFARU HOME BAKING,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
KIFARU MAIZE,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
KIMBO,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
KIMBO PREMIUM OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
KINANGOP BOTTLED NATURAL LALA,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
KINANGOP FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
KINANGOP FRESH MILK GOLD,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
