source_dataset,source_row_ids,merged_duplicate_count,product_name,normalized_name,package_size,portion_type,portion_basis,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,saturated_fat_g,trans_fat_g,fibre_g,sodium_g,salt_g,calcium_mg,sub_type,form,category,flavour,additives,data_quality_flags
all_categories_combined,4611,1,Carrefour Yellow Plum Jam 370g,CARREFOUR YELLOW PLUM JAM,Pack size : 370g,Average Nutritional Value As Per 100g,PER_100G,72,2408,1.4,59,59,,,,1.1,,,,Jam,Jelly,Food,Plum,,missing_sodium|missing_total_fat
all_categories_combined,84,1,Carrefour Zoo Mini Biscuit 160g,CARREFOUR ZOO MINI BISCUIT,Pack size : 160g,Average Nutritional Value As Per 100g,PER_100G,201,840.984,2.8,27.2,12.8,8.8,,,0.9,0.1,0.25,,Biscuit,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,116,1,CARRS TABLE WATER BITE ORIGINAL125G,CARRS TABLE WATER BITE ORIGINAL125G,Pack size : 125g,Average Nutritional Value As Per 100g,PER_100G,417,1759,10.1,74.7,1.6,7.7,,,4.2,0.6,1.5,,Crackers,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,117,1,CARRS TABLE WATER SESAME BISC. 125G,CARRS TABLE WATER SESAME BISC,Pack size : 125g,Average Nutritional Value As Per 100g,PER_100G,425,1792,10.5,71.5,1.5,9.7,,,4.7,0.6,1.4,,Crackers,Solid,Food,Sesame Seeds,,
all_categories_combined,3671,1,Casa Del Dolce Gluten Free Molly Marshmallow 85g,CASA DEL DOLCE GLUTEN FREE MOLLY MARSHMALLOW,Pack size : 85g,Average Nutritional Value As Per 100g,PER_100G,377,1409,5.8,78,68.9,0.1,,,0.1,0.0001,0.00025,,Marshmallow,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,3068,1,Casa Del Dolce Panna Fragola Bubble Gum 185g,CASA DEL DOLCE PANNA FRAGOLA BUBBLE GUM,Pack size : 185g,Average Nutritional Value As Per 100g,PER_100G,70,292.88,0,17,13,0,,,0,0.123,0.3075,,Bubble Gum,Solid,Food,Panna Fragola,,salt_derived_from_sodium
all_categories_combined,3174,1,Casa Del Dolce Trinkola Cola Flavour Candy Drink 70Ml,CASA DEL DOLCE TRINKOLA COLA FLAVOUR CANDY DRINK,Pack size : 70ml,Average Nutritional Value As Per 100ml,PER_100ML,47,199,0,10,10,0,,,,0,0,,Candy Drink,Liquid,Beverage,Cola,,sodium_derived_from_salt
all_categories_combined,3506,1,Ceres Delight Orange Juice 250M,CERES DELIGHT ORANGE JUICE 250M,Pack size : 250ml,Average Nutritional Value As Per 100ml,PER_100ML,100,400,1,22,0,0,,,0,0,0,,Juice,Liquid,Beverage,Orange,,salt_derived_from_sodium
all_categories_combined,3559,1,Ceres Hanepoot 100 White Grape Juice 1L,CERES HANEPOOT 100 WHITE GRAPE JUICE,Pack size : 1L,Average Nutritional Value As Per 200ml,PER_200ML_SCALED,55,230,,14,,,,,,0.01,0.025,,Juice,Liquid,Beverage,White Grape,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,3443,1,Ceres Juice Cranberry/Kiwi 100% 1L,CERES JUICE CRANBERRY KIWI 100,Pack size : 1L,Average Nutritional Value As Per 250ml,PER_250ML_SCALED,48,200.8,,12,6.4,,,,,0.004,0.01,,Juice,Liquid,Beverage,"Cranberry,Kiwi",,missing_total_fat|salt_derived_from_sodium
all_categories_combined,3465,1,Ceres Juice Orange 100% 1L,CERES JUICE ORANGE 100,Pack size : 1L,Average Nutritional Value As Per 200ml,PER_200ML_SCALED,50,209,0.5,11,11,,,,,0.0025,0.00625,,Orange Juice,Liquid,Beverage,Orange,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,3462,1,Ceres Season'S Treasure 1L 100%,CERES SEASON S TREASURE 100,Pack size : 1L,Average Nutritional Value As Per 200ml,PER_200ML_SCALED,60,251,,7.5,7,,,,1,0.005,0.0125,,Juice,Liquid,Beverage,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,2371,1,Chain Kwo Naturally Brewed Soya Sauce 150ml,CHAIN KWO NATURALLY BREWED SOYA SAUCE,Pack size : 150ml,Average Nutritional Value As Per 15ml,PER_15ML_SCALED,60,250.667,,,,,,,,4.79333,11.9833,,Sauce,Liquid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,2396,1,Chain Kwo Oyster Sauce 270g,CHAIN KWO OYSTER SAUCE,Pack size : 270g,Average Nutritional Value As Per 100g,PER_100G,150,448,2.5,23.6,19.1,,,,,1.8,4.3,,Oyster Sauce,Paste,Food,,,missing_total_fat
all_categories_combined,2393,1,Chain Kwo Pure Sesame Oil 150ml,CHAIN KWO PURE SESAME OIL,Pack size : 150ml,Average Nutritional Value As Per 100ml,PER_100ML,816,3414.14,,0.4,,90.5,,,,,,,Sesame Oil,Liquid,Food,,,missing_sodium|missing_sugar
all_categories_combined,2724,1,Chain Kwo Quick Cooking Noodles 250g,CHAIN KWO QUICK COOKING NOODLES,Pack size : 250g,Average Nutritional Value As Per 100g,PER_100G,359,1502.06,13,77,0,0,,,0,0,0,,Noodles,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,1515,1,Chain Kwo Rice Vinegar 500ml,CHAIN KWO RICE VINEGAR,Pack size : 500ml,Average Nutritional Value As Per 100ml,PER_100ML,10,41.8,,,,,,,,0.0003,0.00075,,Vinegar,Liquid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,1243,1,Chain Kwo Siracha Chili Sauce 530g,CHAIN KWO SIRACHA CHILI SAUCE,Pack size : 530g,Average Nutritional Value As Per 100g,PER_100G,122,513,1.8,23,18,1.3,,,,,,,Sauce,Paste,Food,,,missing_sodium
all_categories_combined,2357|2378,2,Chain Kwo Superior Dark Soya Sauce 592ml,CHAIN KWO SUPERIOR DARK SOYA SAUCE,Pack size : 592ml,Average Nutritional Value As Per 15ml,PER_15ML_SCALED,113.333,474,,20,,,,,,6.06,15.15,,Sauce,Liquid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,2359|2383,2,Chain Kwo Superior Light Soya Sauce 1.9L,CHAIN KWO SUPERIOR LIGHT SOYA SAUCE,Pack size : 1.9L,Average Nutritional Value As Per 17ml,PER_17ML_SCALED,64.7059,270.706,,5.88235,,,,,,4.29412,10.7353,,Sauce,Liquid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,2394,1,Chain Kwo Sweet And Sour Sauce 330g,CHAIN KWO SWEET AND SOUR SAUCE,Pack size : 330g,Average Nutritional Value As Per 100g,PER_100G,191,799,0.5,45.6,33,0.3,,,,,,,Sauce,Paste,Food,,,missing_sodium
all_categories_combined,2384,1,CHAIN KWO SWEET CHILI SAUCE 700G,CHAIN KWO SWEET CHILI SAUCE,Pack size : 700g,Average Nutritional Value As Per 100g,PER_100G,230,962.32,0,56,0,0,,,0,0,0,,Sauce,Paste,Food,Chili,,salt_derived_from_sodium
all_categories_combined,2355,1,Chain Two Dark Soy Sauce 150ml,CHAIN TWO DARK SOY SAUCE,Pack size : 150ml,Average Nutritional Value As Per 100ml,PER_100ML,120,510,1.3,28.6,24.8,0.1,,,,,,,Sauce,Paste,Food,,,missing_sodium
all_categories_combined,3539,1,Chamdor Sparkling Red Grape Wine 750Ml,CHAMDOR SPARKLING RED GRAPE WINE,Pack size : 750ml,Average Nutritional Value As Per 250ml,PER_250ML_SCALED,52.4,219.2,,,13.2,,,,,0.014,0.035,,Wine,Liquid,Beverage,Red Grape,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,2630,1,Chandan Kachi Kairi Jar 410G,CHANDAN KACHI KAIRI JAR,Pack size : 410g,Nutrition Information per 100g,PER_100G,,,4.7,83.9,70.6,6,,,,,,,,,Candy,,,missing_sodium
all_categories_combined,2607,1,Chandan Natkhat Imli Jar 410G,CHANDAN NATKHAT IMLI JAR,Pack size : 410g,Nutrition Information per 100g,PER_100G,,,4.7,83.9,70.6,6,,,,,,,,,Candy,,,missing_sodium
all_categories_combined,2622,1,Chandan Pan Delight Jar 410G,CHANDAN PAN DELIGHT JAR,Pack size : 410g,Nutrition Information per 100g,PER_100G,,,4.7,83.9,70.6,6,,,,,,,,,Candy,,,missing_sodium
all_categories_combined,272,1,Chapa Mandashi Baking Powder 100g,CHAPA MANDASHI BAKING POWDER,Pack size : 100g,Average Nutritional Value As Per 4.6g,PER_4.6G_SCALED,52.1739,218.261,,28.2609,,,,,,10.6087,26.5217,,Baking Powder,Powder,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,1546,1,Chef King Balsamic Vinegar 500ml,CHEF KING BALSAMIC VINEGAR,Pack size : 500ml,Average Nutritional Value As Per 100ml,PER_100ML,70,292.88,,0.3,0.1,,,,,,,,Vinegar,Liquid,Food,,,missing_sodium|missing_total_fat
all_categories_combined,2503,1,Chef King Blended Sesame Oil 150ml,CHEF KING BLENDED SESAME OIL,Pack size : 150ml,Average Nutritional Value As Per 100g,PER_100G,810,3389.04,0,0,0,91,,,0,0,0,,Oil,Liquid,Food,,,salt_derived_from_sodium
all_categories_combined,1278,1,Chef King Oyster Sauce 510g,CHEF KING OYSTER SAUCE,Pack size : 510g,Average Nutritional Value As Per 100g,PER_100G,136,569.024,5,29,23,0,,,0,4.379,10.9475,,Oyster Sauce,Paste,Food,,,salt_derived_from_sodium
all_categories_combined,2376,1,Chef King Superior Light Soya Sauce 150ml,CHEF KING SUPERIOR LIGHT SOYA SAUCE,Pack size : 150ml,Average Nutritional Value As Per 100ml,PER_100ML,50,209.2,5,6,,,,,,6.477,16.1925,,Sauce,Liquid,Food,,,missing_sugar|missing_total_fat|salt_derived_from_sodium
all_categories_combined,1169,1,Chef King Sweet Chilli Sauce 700g,CHEF KING SWEET CHILLI SAUCE,Pack size : 700g,Average Nutritional Value As Per 100g,PER_100G,172,719.648,0.5,42,39,,,,,,,,Chilli Sauce,Paste,Food,Chilli,,missing_sodium|missing_total_fat
